Series ID,Year,Period,Label,Value
CUUR0000SA0,1928,M08,1928 Aug,17.1
CUUR0000SA0,1928,M09,1928 Sep,17.3
CUUR0000SA0,1928,M10,1928 Oct,17.2
CUUR0000SA0,1928,M11,1928 Nov,17.2
CUUR0000SA0,1928,M12,1928 Dec,17.1
CUUR0000SA0,1929,M01,1929 Jan,17.1
CUUR0000SA0,1929,M02,1929 Feb,17.1
CUUR0000SA0,1929,M03,1929 Mar,17.0
CUUR0000SA0,1929,M04,1929 Apr,16.9
CUUR0000SA0,1929,M05,1929 May,17.0
CUUR0000SA0,1929,M06,1929 Jun,17.1
CUUR0000SA0,1929,M07,1929 Jul,17.3
CUUR0000SA0,1929,M08,1929 Aug,17.3
CUUR0000SA0,1929,M09,1929 Sep,17.3
CUUR0000SA0,1929,M10,1929 Oct,17.3
CUUR0000SA0,1929,M11,1929 Nov,17.3
CUUR0000SA0,1929,M12,1929 Dec,17.2
CUUR0000SA0,1930,M01,1930 Jan,17.1
CUUR0000SA0,1930,M02,1930 Feb,17.0
CUUR0000SA0,1930,M03,1930 Mar,16.9
CUUR0000SA0,1930,M04,1930 Apr,17.0
CUUR0000SA0,1930,M05,1930 May,16.9
CUUR0000SA0,1930,M06,1930 Jun,16.8
CUUR0000SA0,1930,M07,1930 Jul,16.6
CUUR0000SA0,1930,M08,1930 Aug,16.5
CUUR0000SA0,1930,M09,1930 Sep,16.6
CUUR0000SA0,1930,M10,1930 Oct,16.5
CUUR0000SA0,1930,M11,1930 Nov,16.4
CUUR0000SA0,1930,M12,1930 Dec,16.1
CUUR0000SA0,1931,M01,1931 Jan,15.9
CUUR0000SA0,1931,M02,1931 Feb,15.7
CUUR0000SA0,1931,M03,1931 Mar,15.6
CUUR0000SA0,1931,M04,1931 Apr,15.5
CUUR0000SA0,1931,M05,1931 May,15.3
CUUR0000SA0,1931,M06,1931 Jun,15.1
CUUR0000SA0,1931,M07,1931 Jul,15.1
CUUR0000SA0,1931,M08,1931 Aug,15.1
CUUR0000SA0,1931,M09,1931 Sep,15.0
CUUR0000SA0,1931,M10,1931 Oct,14.9
CUUR0000SA0,1931,M11,1931 Nov,14.7
CUUR0000SA0,1931,M12,1931 Dec,14.6
CUUR0000SA0,1932,M01,1932 Jan,14.3
CUUR0000SA0,1932,M02,1932 Feb,14.1
CUUR0000SA0,1932,M03,1932 Mar,14.0
CUUR0000SA0,1932,M04,1932 Apr,13.9
CUUR0000SA0,1932,M05,1932 May,13.7
CUUR0000SA0,1932,M06,1932 Jun,13.6
CUUR0000SA0,1932,M07,1932 Jul,13.6
CUUR0000SA0,1932,M08,1932 Aug,13.5
CUUR0000SA0,1932,M09,1932 Sep,13.4
CUUR0000SA0,1932,M10,1932 Oct,13.3
CUUR0000SA0,1932,M11,1932 Nov,13.2
CUUR0000SA0,1932,M12,1932 Dec,13.1
CUUR0000SA0,1933,M01,1933 Jan,12.9
CUUR0000SA0,1933,M02,1933 Feb,12.7
CUUR0000SA0,1933,M03,1933 Mar,12.6
CUUR0000SA0,1933,M04,1933 Apr,12.6
CUUR0000SA0,1933,M05,1933 May,12.6
